,Summary of All ,,,,,,,insence,,Leggings,,,Rings,Size,Orgone,
,Item,# Varriations,Qty on hand,,,,,,,,,,,,,
1,Green aventurine crystal tree,1,12,,,,,,,,,,,,,
2,Wood Ring ,6,,,,,,,,,,,,,,
3,Orgone ,11,11,,,,,Black opium,,Golden tut,2 large,,Zebra size 6,1,1 - small red obilisc,1
4,Orgone angels,12,35,Green aventureen trees,12,,,Black love,,Dragon,2 large,2 small,Brown size 6,6,2 - large pyramid aventurine Amethyst 4 sided,1
5,Crystal Stud Earrings,10,32,,,Crystal stud earrings,,Gaia,,Blue koolot ,2 small,,Flower size 6,4,3 - pyramid 3 sided lapiz lazuli aventurine Amethyst ,1
6,Leather Pouches,2,2,,,White howelite,4,Jungle dlower,,Gold snake,1 small,,Plaid size 6,2,4 - small diamond base pyramid with blue and purple,1
7,Insence,26,,Wood rings ,,QuartZ,6,Yin yang,,Silver snake,1 small,,Zebra 6.5,8,5 - buddha with citrine,1
8,Leggings,7,11,,,Aquamarine,1,Ginger flower,,Lightening ,2 med,2 large ,Flowers 6.5,2,6 - small pyramid with red jasper,1
9,Crystal rings,,,Leather pouch potion bag,"1 - tan protection, 1 - dark brown protection ",Turquoise ,1,African violate,,Pink sky,1 med,,Plaid 6.5,5,7 - large square pyramid with jaspers,1
10,Orgone jewelry,,,Orgone,,Amethyst,6,Dream,,,,,Brown 6.5,4,8 - large square pyramid Amethyst ,1
11,,,,Balance bracelet,,Lapiz lazuli,1,"daydream
",,,,,Zebra 8,1,9 - Mayan pyramid ,1
12,,,,,,Carnelian,3,Herb garden,,,,,Red swirl ,8,10 - blue round cone,1
,Total products,75,103,;,,Red jasper,8,Enchanted forest,,,,,Plaid 8,5,11 - sea star orgone,1
,,,,Orgone angles,,Aquamarine ,1,Success,,,,,Plaid 9.5,8,,
,,,,Multi stone LG,3,Purple pearls,1,divination,,,,,Flowers 9.5,4,,
,,,,Tourmaline S,1,,,Peace,,,,,Red swirlk 9.5,4,,
,,,,Bamboo agate,2 small,6 large,,Money draw,,,,,Cheetah 9.5,1,,
,,,,Ruby s ,7,,,Dragons blood,,,,,Flower 7,1,,
,,,,Ruby LG,11,,,Temple,,,,,Red swirl 7,3,,
,,,,Turquoise S,4,,,Shaman,,,,,Brown 7,4,,
,,,,Moss agate ,2 small,,,Inner peace,,,,,Plaid 7,8,,
,,,,Red jasper,1 small,,,Healing,,,,,Leaped 9.5,1,,
,,,,Ruby in kyanite,1 large,,,Egyptian Temple,,,,,Flower 9.5.,3,,
,,,,Red tigers eye,1 large,,,Creativity,,,,,Red swirl 9.5,4,,
,,,,Script jasper,I large ,,,Ocean breeze,,,,,Plaid 9.5,7,,
,,,,Selenite and tourmaline ,1 large,,,Magic,,,,,Brown 7.5,4,,
,,,,,,,,Purification,,,,,Zebra 7.5,5,,
,,,,,,,,Guassian angel,,,,,Flowers 7.5,3,,
,,,,,,,,,,,,,Leopard 7.5,1,,
,,,,,,,,,,,,,Red swirl 7.5,7,,
,,,,,,,,,,,,,plaid 7.5,8,,
,,,,,,,,,,,,,Pinwheel 10.5,1,,
,,,,,,,,,,,,,Plaid 10.5,1,,
,,,,,,,,,,,,,Red swirl 10,5,,
,,,,,,,,,,,,,Pinwheel 10,1,,
,,,,,,,,,,,,,Plaid 10,6,,
,,,,,,,,,,,,,Leopard 10,1,,
